corp_name,stock_code,rcept_dt,report_nm,rcept_no,per_share_common,yield_common,total_amount,record_date,payment_date,meeting_held,meeting_date,board_decision_date,days_to_payment,days_to_payment_missing
유니온스틸,3640,1970-01-01 00:00:00.020130207,현금ㆍ현물배당결정,20130207800442,100.0,0.9,1025967800.0,2012-12-31,,개최,-,2013-02-07,-1.0,1
유니온스틸,3640,1970-01-01 00:00:00.020140206,현금ㆍ현물배당결정,20140206800401,300.0,2.0,3077903400.0,2013-12-31,,개최,-,2014-02-06,-1.0,1
파브코,101990,1970-01-01 00:00:00.020140226,현금ㆍ현물배당결정,20140226800644,50.0,3.3,169120750.0,2013-12-31,,개최,-,2014-02-26,-1.0,1
코크렙제8호위탁관리부동산투자회사,90540,1970-01-01 00:00:00.020130906,현금ㆍ현물배당결정,20130906800276,1411.0,31.4,12978943798.0,2013-06-30,2013-10-15,개최,2013-09-30,2013-09-06,15992.0,0
우리금융지주,53000,1970-01-01 00:00:00.020140206,현금ㆍ현물배당결정(자회사의 주요경영사항),20140206800521,275.0,1.5,164000000000.0,2013-12-31,,개최,-,2014-02-05,-1.0,1
우리금융지주,53000,1970-01-01 00:00:00.020130207,[첨부추가]현금ㆍ현물배당결정(자회사의 주요경영사항)((주)우리은행),20130207800515,175.0,1.5,177532598683.0,2012-12-31,,개최,-,2013-02-06,-1.0,1
우리금융지주,53000,1970-01-01 00:00:00.020130225,[첨부추가]현금ㆍ현물배당결정,20130225800514,250.0,2.1,201503335000.0,2012-12-31,,개최,2013-03-22,2013-02-25,-1.0,1
미래에셋증권,37620,1970-01-01 00:00:00.020160310,현금ㆍ현물배당결정,20160310801748,350.0,1.76,39802355950.0,2015-12-31,,개최,2016-03-30,2016-03-10,-1.0,1
미래에셋증권,37620,1970-01-01 00:00:00.020150311,현금ㆍ현물배당결정,20150311800914,100.0,0.21,4132760700.0,2014-12-31,,개최,2015-03-27,2015-03-11,-1.0,1
삼성물산,830,1970-01-01 00:00:00.020150129,현금ㆍ현물배당결정,20150129800289,500.0,0.8,75922901150.0,2014-12-31,,개최,-,2015-01-29,-1.0,1
실리콘화일,82930,1970-01-01 00:00:00.020140305,현금ㆍ현물배당결정,20140305900577,100.0,1.3,844427600.0,2013-12-31,,이사회,2014-03-28,2014-03-05,-1.0,1
디아이디,74130,1970-01-01 00:00:00.020130225,현금ㆍ현물배당결정,20130225900094,50.0,1.4,923421600.0,2012-12-31,2013-04-19,개최,2013-03-22,2013-02-25,15813.0,0
삼성물산,830,1970-01-01 00:00:00.020140124,현금ㆍ현물배당결정,20140124800281,500.0,0.9,75909801150.0,2013-12-31,,개최,-,2014-01-24,-1.0,1
삼성물산,830,1970-01-01 00:00:00.020130128,현금ㆍ현물배당결정,20130128800380,500.0,0.8,75885201150.0,2012-12-31,,개최,-,2013-01-28,-1.0,1
코크렙제15호기업구조조정부동산투자회사,121550,1970-01-01 00:00:00.020130227,현금ㆍ현물배당결정,20130227800523,245.0,4.8,3032410176.0,2012-12-31,2013-03-27,개최,2013-03-20,2013-02-27,15790.0,0
NH농협증권,16420,1970-01-01 00:00:00.020130515,현금ㆍ현물배당결정,20130515800718,100.0,1.93,8962657900.0,2013-03-31,,개최,2013-05-31,2013-05-15,-1.0,1
NH농협증권,16420,1970-01-01 00:00:00.020140313,현금ㆍ현물배당결정,20140313801138,50.0,1.02,5981328950.0,2013-12-31,,개최,2014-03-28,2014-03-13,-1.0,1
동성하이켐,13450,1970-01-01 00:00:00.020150305,현금ㆍ현물배당결정,20150305900382,210.0,3.2,3307462620.0,2014-12-31,,주주총회,2015-03-20,2015-03-05,-1.0,1
동성하이켐,13450,1970-01-01 00:00:00.020140306,[기재정정]현금ㆍ현물배당결정,20140306901053,210.0,3.5,2861792220.0,2013-12-31,,주주총회,2014-03-21,2014-03-06,-1.0,1
동성하이켐,13450,1970-01-01 00:00:00.020130304,현금ㆍ현물배당결정(현금배당 결정),20130304900339,170.0,2.9,2316688940.0,2012-12-31,,주주총회,2013-03-20,2013-03-04,-1.0,1
삼목강업,158380,1970-01-01 00:00:00.020160225,현금ㆍ현물배당결정,20160225900231,80.0,2.3,816000000.0,2015-12-31,,주주총회,2016-03-25,2016-02-25,-1.0,1
삼목강업,158380,1970-01-01 00:00:00.020150224,현금ㆍ현물배당결정,20150224900449,80.0,2.8,816000000.0,2014-12-31,,주주총회,2015-03-27,2015-02-24,-1.0,1
삼목강업,158380,1970-01-01 00:00:00.020140219,현금ㆍ현물배당결정,20140219900247,80.0,1.6,816000000.0,2013-12-31,,주주총회,2014-03-21,2014-02-19,-1.0,1
현대하이스코,10520,1970-01-01 00:00:00.020150227,현금ㆍ현물배당결정,20150227800930,300.0,0.4,6788006100.0,2014-12-31,,개최,2015-03-20,2015-02-27,-1.0,1
현대하이스코,10520,1970-01-01 00:00:00.020140221,현금ㆍ현물배당결정,20140221800499,300.0,0.7,6255521100.0,2013-12-31,,개최,2014-03-21,2014-02-21,-1.0,1
현대하이스코,10520,1970-01-01 00:00:00.020130218,현금ㆍ현물배당결정,20130218800223,250.0,0.5,19878917500.0,2012-12-31,2013-04-12,개최,2013-03-15,2013-02-18,15806.0,0
자원메디칼,181980,1970-01-01 00:00:00.020131231,[기재정정]현금ㆍ현물배당결정,20131231600083,500.0,8.0,800000000.0,2013-12-31,,주주총회,-,2013-12-17,-1.0,1
자원메디칼,181980,1970-01-01 00:00:00.020131218,현금ㆍ현물배당결정,20131218600233,500.0,8.5,800000000.0,2013-12-31,,주주총회,-,2013-12-17,-1.0,1
