stock_code,rcept_dt,n_days
000020,2014-02-14,21
000020,2015-01-30,21
000020,2016-02-04,21
000020,2017-02-21,21
000020,2018-02-20,21
000020,2019-03-05,21
000020,2020-02-24,21
000020,2021-02-26,21
000020,2022-02-24,21
000020,2023-02-20,21
000020,2024-02-28,21
000020,2025-02-24,21
000050,2014-01-23,21
000050,2015-02-25,21
000050,2016-02-24,21
000050,2017-02-23,21
000050,2018-02-19,21
000050,2019-02-25,21
000050,2020-02-24,21
000050,2021-02-25,21
000050,2022-02-23,21
000050,2023-02-27,21
000050,2024-03-13,21
000050,2025-03-13,21
000070,2014-02-14,21
000070,2015-02-10,21
000070,2016-02-15,21
000070,2017-02-09,21
000070,2018-02-12,21
000070,2019-02-14,21
000070,2020-02-04,21
000070,2021-02-09,21
000070,2022-02-09,21
000070,2023-02-08,21
000070,2024-02-06,21
000070,2025-02-13,21
000080,2014-03-06,21
000080,2015-03-12,21
000080,2016-03-09,21
000080,2017-03-02,21
000080,2018-03-08,21
000080,2019-03-07,21
000080,2020-03-05,21
000080,2021-03-11,21
000080,2022-03-10,21
000080,2023-03-09,21
000080,2024-02-08,21
000080,2025-02-06,21
000100,2014-03-11,21
000100,2015-02-25,21
000100,2016-02-22,21
000100,2017-02-21,21
000100,2018-02-20,21
000100,2019-02-18,21
000100,2020-02-27,21
000100,2021-02-24,21
000100,2022-02-16,21
000100,2023-02-23,21
000100,2024-02-06,21
000100,2025-02-12,21
000140,2015-03-12,21
000140,2018-03-08,21
000140,2020-03-05,21
000140,2021-03-11,21
000150,2013-07-29,21
000150,2014-02-11,21
000150,2014-07-28,21
000150,2017-02-16,21
000150,2018-02-08,21
000150,2018-04-26,21
000150,2018-07-26,21
000150,2018-11-06,21
000150,2019-02-13,21
000150,2019-04-25,21
000150,2019-07-25,21
000150,2019-10-29,21
000150,2020-02-14,21
000150,2021-02-09,21
000150,2022-03-08,21
000150,2023-02-09,21
000150,2024-02-07,21
000150,2025-02-14,21
000210,2014-02-27,21
000210,2015-02-26,21
000210,2016-02-25,21
000210,2017-03-02,21
000210,2018-02-22,21
000210,2019-02-27,21
000210,2020-03-12,21
000210,2021-02-25,21
000210,2022-02-24,21
000210,2024-03-05,21
000210,2025-02-20,21
000220,2013-05-14,21
000220,2014-05-12,21
000220,2015-05-28,21
000220,2016-05-13,21
000220,2017-05-31,21
000220,2018-02-12,21
000220,2019-02-22,21
000220,2020-03-05,21
000220,2021-03-08,21
000220,2022-03-11,21
000220,2023-02-21,21
000220,2025-02-19,21
000230,2014-02-26,21
000230,2015-02-26,21
000230,2016-02-24,21
000230,2017-02-28,21
000230,2018-02-20,21
000230,2020-02-14,21
000230,2021-02-19,21
000230,2022-02-17,21
000230,2023-02-09,21
000230,2024-02-08,21
000240,2017-03-07,21
000240,2018-02-28,21
000240,2018-03-19,21
000240,2023-02-28,21
000240,2024-07-29,21
000250,2014-02-04,21
000250,2015-01-21,21
000250,2016-01-26,21
000250,2017-01-20,21
000250,2018-01-23,21
000250,2019-01-18,21
000250,2020-01-20,21
000250,2025-02-07,21
000270,2014-01-24,21
000270,2015-01-23,21
000270,2016-01-27,21
000270,2017-01-26,21
000270,2018-01-25,21
000270,2019-01-25,21
000270,2020-01-22,21
000270,2021-01-27,21
000270,2022-01-26,21
000270,2023-01-27,21
000270,2024-01-25,21
000270,2024-03-15,21
000270,2025-01-23,21
000320,2014-03-04,21
000320,2016-03-08,21
000320,2017-03-07,21
000320,2018-03-06,21
000320,2019-03-04,21
000320,2020-03-03,21
000320,2021-03-11,21
000320,2022-03-08,21
000320,2023-03-09,21
000320,2024-03-14,21
000320,2025-03-06,21
000390,2014-02-05,21
000390,2015-02-10,21
000390,2016-02-05,21
000390,2017-02-07,21
000390,2018-02-06,21
000390,2019-02-01,21
000390,2020-01-29,21
000390,2021-02-01,21
000390,2022-02-07,21
000390,2023-02-06,21
000390,2024-02-05,21
000390,2025-02-03,21
000400,2017-03-02,21
000400,2018-02-08,21
000430,2014-02-06,21
000430,2015-02-04,21
000430,2016-02-04,21
000430,2017-02-08,21
000430,2018-03-06,21
000430,2019-02-01,21
000430,2020-02-11,21
000430,2021-02-09,21
000430,2022-02-08,21
000430,2023-02-07,21
000430,2024-02-07,21
000430,2025-02-11,21
000440,2013-11-04,21
000440,2014-10-30,21
000440,2015-02-12,21
000440,2016-02-12,21
000440,2017-02-14,21
000440,2018-02-13,21
000440,2019-02-12,21
000440,2020-02-12,21
000440,2021-02-22,21
000440,2022-02-18,21
000440,2022-04-07,21
000440,2023-02-20,21
000440,2024-02-21,21
000440,2025-02-21,21
000490,2013-03-04,21
000490,2014-03-04,21
000490,2015-03-06,21
000490,2016-03-09,21
000490,2017-03-07,21
000490,2018-03-06,21
000490,2019-03-11,21
000490,2020-03-10,21
000490,2021-03-10,21
000490,2022-03-10,21
000490,2023-03-09,21
000490,2023-04-21,21
000490,2024-03-13,21
000490,2025-03-11,21
000500,2014-02-12,21
000500,2015-02-11,21
000500,2016-02-11,21
000500,2017-02-09,21
000500,2018-02-12,21
000500,2019-01-31,21
000500,2020-01-31,21
000500,2021-02-09,21
000500,2022-02-09,21
000500,2023-02-08,21
000520,2013-02-05,21
000520,2013-02-26,21
000520,2014-02-06,21
000520,2014-02-27,21
000520,2015-02-02,21
000520,2015-02-24,21
000520,2016-01-25,21
000520,2016-02-25,21
000520,2017-01-25,21
000520,2017-02-09,21
000520,2018-01-30,21
000520,2018-02-13,21
000520,2019-01-31,21
000520,2019-02-21,21
000520,2020-02-20,21
000520,2021-02-23,21
000520,2022-02-24,21
000590,2023-03-16,21
000640,2014-02-28,21
000640,2019-03-05,21
000640,2020-02-25,21
000640,2021-02-25,21
000640,2021-10-22,21
000640,2022-07-21,21
000640,2023-02-23,21
000640,2023-07-27,21
000640,2024-02-22,21
000640,2024-07-26,21
000640,2025-02-27,21
000670,2014-03-03,21
000670,2015-03-03,21
000670,2016-03-04,21
000670,2017-03-03,21
000670,2018-03-02,21
000670,2019-03-04,21
000670,2020-03-02,21
000670,2021-02-26,21
000670,2022-03-04,21
000670,2023-03-03,21
000670,2024-03-05,21
000680,2014-02-06,21
000680,2015-02-11,21
000700,2016-02-04,21
000700,2017-02-09,21
000700,2021-02-15,21
000700,2021-03-30,21
000700,2022-02-14,21
000700,2023-02-14,21
000700,2024-02-13,21
000700,2025-02-14,21
000720,2014-02-26,21
000720,2015-02-24,21
000720,2016-02-23,21
000720,2017-02-22,21
000720,2018-03-13,21
000720,2019-02-20,21
000720,2020-02-19,21
000720,2021-02-24,21
000720,2022-02-22,21
000720,2023-02-17,21
000720,2024-02-21,21
000720,2025-02-19,21
000810,2014-01-28,21
000810,2015-01-29,21
000810,2016-01-28,21
000810,2017-01-25,21
