corp_code,corp_name,stock_code,rcept_dt,report_name,rcept_no,report_text,dividend_amount
679730,파브코,101990,20140226,현금ㆍ현물배당결정,20140226800644,,
560025,코크렙제8호위탁관리부동산투자회사,90540,20130906,현금ㆍ현물배당결정,20130906800276,,
140380,유니온스틸,3640,20140206,현금ㆍ현물배당결정,20140206800401,,
890333,케이비부국제1호개발전문위탁관리부동산투자회사,149130,20140103,부동산투자회사금전배당결정,20140103800545,,
694003,중국식품포장유한공사,900060,20130304,현금ㆍ현물배당결정(자회사의 주요경영사항),20130304900743,,
694003,중국식품포장유한공사,900060,20130220,현금ㆍ현물배당결정(자회사의 주요경영사항),20130220900267,,
992312,에스와이이노베이션,194860,20141226,배당락,20141226600500,,
992312,에스와이이노베이션,194860,20141216,주식배당결정,20141216600953,,
525527,실리콘화일,82930,20140305,현금ㆍ현물배당결정,20140305900577,,
788807,코크렙제15호기업구조조정부동산투자회사,121550,20130227,현금ㆍ현물배당결정,20130227800523,,
165529,동성하이켐,13450,20150305,현금ㆍ현물배당결정,20150305900382,,
165529,동성하이켐,13450,20140306,[기재정정]현금ㆍ현물배당결정,20140306901053,,
165529,동성하이켐,13450,20140306,현금ㆍ현물배당결정,20140306900744,,
125628,삼목강업,158380,20160225,현금ㆍ현물배당결정,20160225900231,,
125628,삼목강업,158380,20150224,현금ㆍ현물배당결정,20150224900449,,
125628,삼목강업,158380,20140219,현금ㆍ현물배당결정,20140219900247,,
164469,현대하이스코,10520,20150227,현금ㆍ현물배당결정,20150227800930,,
810531,자원메디칼,181980,20131231,[기재정정]현금ㆍ현물배당결정,20131231600083,,
810531,자원메디칼,181980,20131218,현금ㆍ현물배당결정,20131218600233,,
156521,화인자산관리,10460,20130304,현금ㆍ현물배당결정,20130304800718,,
148328,제일모직,1300,20140128,현금ㆍ현물배당결정,20140128800458,,
907660,아루히,950100,20140521,[기재정정]현금ㆍ현물배당결정,20140521800273,,
907660,아루히,950100,20140507,현금ㆍ현물배당결정,20140507800405,,
907660,아루히,950100,20131023,현금ㆍ현물배당결정,20131023800220,,
907660,아루히,950100,20130913,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20130913800125,,
144155,SK,3600,20150723,현금ㆍ현물배당결정(자회사의 주요경영사항),20150723800492,,
144155,SK,3600,20150623,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정(자회사의 주요경영사항),20150623800501,,
