corp_name,stock_code,rcept_no,per_share_common,yield_common,total_amount
유니온스틸,3640,20130207800442,100.0,0.9,1025967800.0
유니온스틸,3640,20140206800401,300.0,2.0,3077903400.0
파브코,101990,20140226800644,50.0,3.3,169120750.0
코크렙제8호위탁관리부동산투자회사,90540,20130906800276,1411.0,31.4,12978943798.0
우리금융지주,53000,20130225800514,250.0,2.1,201503335000.0
미래에셋증권,37620,20160310801748,350.0,1.76,39802355950.0
미래에셋증권,37620,20150311800914,100.0,0.21,4132760700.0
삼성물산,830,20150129800289,500.0,0.8,75922901150.0
실리콘화일,82930,20140305900577,100.0,1.3,844427600.0
디아이디,74130,20130225900094,50.0,1.4,923421600.0
삼성물산,830,20140124800281,500.0,0.9,75909801150.0
삼성물산,830,20130128800380,500.0,0.8,75885201150.0
코크렙제15호기업구조조정부동산투자회사,121550,20130227800523,245.0,4.8,3032410176.0
NH농협증권,16420,20130515800718,100.0,1.93,8962657900.0
NH농협증권,16420,20140313801138,50.0,1.02,5981328950.0
동성하이켐,13450,20150305900382,210.0,3.2,3307462620.0
동성하이켐,13450,20140306901053,210.0,3.5,2861792220.0
동성하이켐,13450,20130304900339,170.0,2.9,2316688940.0
삼목강업,158380,20160225900231,80.0,2.3,816000000.0
삼목강업,158380,20150224900449,80.0,2.8,816000000.0
삼목강업,158380,20140219900247,80.0,1.6,816000000.0
현대하이스코,10520,20150227800930,300.0,0.4,6788006100.0
현대하이스코,10520,20140221800499,300.0,0.7,6255521100.0
현대하이스코,10520,20130218800223,250.0,0.5,19878917500.0
자원메디칼,181980,20131231600083,500.0,8.0,800000000.0
자원메디칼,181980,20131218600233,500.0,8.5,800000000.0
화인자산관리,10460,20130304800718,500.0,2.0,4634346000.0
제일모직,1300,20140128800458,750.0,0.9,37761422250.0
아루히,950100,20140521800273,171.0,1.5,4072051571.0
아루히,950100,20140507800405,171.0,1.5,4072051571.0
제일모직,1300,20130130800397,750.0,0.79,37951389750.0
아루히,950100,20131023800220,162.0,1.0,3852060343.0
아루히,950100,20130515801036,186.0,1.5,4417853481.0
SK,3600,20150205800526,2500.0,1.5,90743180800.0
SK,3600,20140206800721,2500.0,1.3,102493180800.0
SK,3600,20130205800268,2500.0,1.5,102493180800.0
세화피앤씨,85980,20170310600222,50.0,0.57,189242500.0
세화피앤씨,85980,20160304600345,30.0,0.94,111118500.0
세화피앤씨,85980,20150305600461,25.0,1.81,92598750.0
세화피앤씨,85980,20140304600369,40.0,1.26,148158000.0
대성합동지주,5620,20130314801674,1000.0,3.06,1395153000.0
대성합동지주,5620,20130305800766,1000.0,3.06,1395153000.0
나이코,192240,20151217600523,25.0,1.5,42707500.0
나이코,192240,20150331601386,75.0,1.5,128122500.0
나이코,192240,20150109600048,25.0,0.5,42707500.0
나이코,192240,20141219600699,25.0,1.5,42707500.0
카카오엠,16170,20170209900880,1004.0,1.4,25392871820.0
카카오엠,16170,20180207901055,573.0,0.5,14492146965.0
카카오엠,16170,20150211900534,711.0,1.7,17982402255.0
카카오엠,16170,20130213900154,189.0,1.5,4780132245.0
케이엠제약,237720,20180503600578,50.0,0.24,112161900.0
케이엠제약,237720,20170511600728,50.0,0.19,112161900.0
케이엠제약,237720,20160512600527,50.0,0.14,101100000.0
심팩메탈,90730,20180227900829,200.0,2.9,2392614000.0
심팩메탈,90730,20170227900783,100.0,1.8,1226307000.0
심팩메탈,90730,20160224900730,50.0,1.1,623153500.0
심팩메탈,90730,20150226901016,80.0,1.5,1013045600.0
심팩메탈,90730,20140303900508,80.0,1.2,1013045600.0
심팩메탈,90730,20130304900208,100.0,1.7,1265287000.0
씨제이이앤엠,130960,20180207900697,250.0,0.3,9643756500.0
씨제이이앤엠,130960,20170208900469,200.0,0.3,7714951400.0
씨제이이앤엠,130960,20160204900587,200.0,0.3,7714798800.0
하림홀딩스,24660,20180212900921,50.0,1.4,4296530850.0
하림홀딩스,24660,20170209900581,50.0,1.2,4296530850.0
대덕GDS,4130,20170227800637,300.0,2.4,6580224400.0
대덕GDS,4130,20180226800731,300.0,1.2,6580224400.0
대덕GDS,4130,20160302800331,300.0,2.9,6732516400.0
대덕GDS,4130,20150303800620,300.0,2.5,6732516400.0
대덕GDS,4130,20140304800309,300.0,1.8,6456442900.0
스틸플라워,87220,20130215900473,50.0,0.6,720997250.0
대덕GDS,4130,20130228800460,300.0,1.8,6456442900.0
GRT,900290,20250620900475,58.25,1.4,4709505149.0
GRT,900290,20250319900597,58.25,1.4,4709505149.0
GRT,900290,20241210900500,58.25,1.4,4709505149.0
GRT,900290,20241120900397,58.25,1.4,4709505149.0
GRT,900290,20241106900373,58.25,1.4,4709505149.0
GRT,900290,20171010900009,72.3,1.97,4871212500.0
차이나하오란리사이클링유한공사,900090,20130314901416,10.0,0.6,400000000.0
원익테라세미콘,123100,20180222900361,300.0,1.1,3362342700.0
원익테라세미콘,123100,20170223900325,150.0,0.6,1681171350.0
피엠디아카데미,144740,20140213600484,200.0,3.3,522530800.0
트러스와이제7호위탁관리부동산투자회사,140890,20130621800340,158.0,3.8,1527536359.0
트러스와이제7호위탁관리부동산투자회사,140890,20130709800528,158.0,3.8,1527536359.0
로스웰,900260,20180425900871,54.58,2.9,1684239284.0
로스웰,900260,20180108900773,52.56,2.8,1622225783.0
로스웰,900260,20171221900079,52.56,1.5,1622225783.0
로스웰,900260,20170313900083,51.99,1.9,4767336803.0
포인트엔지니어링,176560,20180202600357,400.0,0.7,992000000.0
포인트엔지니어링,176560,20190201600142,200.0,1.3,1240000000.0
썬테크놀로지스,122800,20151230900797,150.0,0.9,606600000.0
썬테크놀로지스,122800,20160302900539,150.0,0.9,606600000.0
썬테크놀로지스,122800,20151223900185,150.0,1.5,606600000.0
썬테크놀로지스,122800,20130221900404,60.0,1.2,231463920.0
다린,204690,20160203600678,25.0,0.6,198333500.0
다린,204690,20170206600612,20.0,0.4,158666800.0
SBI핀테크솔루션즈,950110,20220530900498,168.0,2.4,3870160390.0
SBI핀테크솔루션즈,950110,20230601900235,162.0,3.2,3721309574.0
SBI핀테크솔루션즈,950110,20210527900139,174.0,2.0,4013800820.0
SBI핀테크솔루션즈,950110,20200528900230,195.0,3.1,4483881720.0
SBI핀테크솔루션즈,950110,20170530900277,101.0,2.5,1988213642.0
SBI핀테크솔루션즈,950110,20160530900429,107.0,2.7,2103887362.0
SBI핀테크솔루션즈,950110,20180529900363,137.0,1.7,3162314666.0
SBI핀테크솔루션즈,950110,20190529900321,185.0,1.5,4252777213.0
SBI핀테크솔루션즈,950110,20150526900597,90.0,2.8,1912836415.0
SBI핀테크솔루션즈,950110,20140528900463,50.0,1.5,1072094407.0
티에스트릴리온,284610,20200121600395,20.0,0.26,746396420.0
SBI핀테크솔루션즈,950110,20130603900003,189.0,4.6,4055550316.0
티에스트릴리온,284610,20190314600837,10.0,0.25,375206640.0
티에스트릴리온,284610,20190214600540,10.0,0.25,375206340.0
인터파크,108790,20190213900908,100.0,1.9,3286046300.0
인터파크,108790,20200212900768,150.0,2.98,4755072000.0
티에스트릴리온,284610,20180212600442,10.0,1.23,183665000.0
인터파크,108790,20180213900864,150.0,1.6,4967967000.0
인터파크,108790,20170214900435,100.0,1.0,3303968000.0
인터파크,108790,20150210900243,100.0,0.4,3257010100.0
크리스탈신소재,900250,20180424900719,15.03,0.67,1019340000.0
인터파크,108790,20160215900869,250.0,1.09,8222142250.0
크리스탈신소재,900250,20180330903144,15.01,0.67,1018080000.0
크리스탈신소재,900250,20171027900140,12.51,0.47,848180506.0
크리스탈신소재,900250,20170904900243,12.58,0.47,852500000.0
크리스탈신소재,900250,20170125900210,40.4,1.1,2492804000.0
크리스탈신소재,900250,20160808900049,29.8,0.72,1838540000.0
코리아오토글라스,152330,20190212800639,800.0,6.0,16000000000.0
코리아오토글라스,152330,20200212800485,900.0,5.4,18000000000.0
코리아오토글라스,152330,20180209800462,700.0,4.15,14000000000.0
코리아오토글라스,152330,20160204801082,100.0,1.5,2000000000.0
코리아오토글라스,152330,20170209800809,400.0,2.46,8000000000.0
한국아트라스비엑스,23890,20210225900832,400.0,0.68,1521557200.0
한국아트라스비엑스,23890,20200227901231,400.0,0.79,1521557200.0
