stock_code,cluster,y_pred,p_up,ensemble_score,weight,stop_loss,take_profit,rebalance_freq
200780,0,0.072766636547565,0.9635953600488955,0.2170738497168907,0.0477,-2%,+8%,Monthly
296640,0,0.0591729486906338,0.9843882491060523,0.20970051288410035,0.0461,-2%,+8%,Monthly
001750,0,0.0340457615564455,0.9811082120500867,0.17938548252169356,0.0394,-2%,+8%,Monthly
281820,0,0.026867310411774,0.9534124539641583,0.1600214635408544,0.0352,-2%,+8%,Monthly
019990,0,0.0317461142242412,0.9266915450417872,0.1549644514651724,0.034,-3%,+7%,Bi-Monthly
294570,1,0.1215262694269251,0.9333109642822605,0.4612408196339558,0.1013,-3%,+7%,Bi-Monthly
035080,1,0.1131995079869203,0.93662401356948,0.45295488828156344,0.0995,-3%,+7%,Bi-Monthly
001720,1,0.0494694756296051,0.9862572741250688,0.39924790463893367,0.0877,-2%,+8%,Monthly
460940,1,0.0590852668460954,0.9250813973561823,0.3858765655554062,0.0848,-3%,+7%,Bi-Monthly
198440,1,0.0688702570268069,0.7827837706108223,0.34025182411498217,0.0747,-5%,+5%,Quarterly
219550,2,0.0548531624839769,0.9327191947084376,0.18404678480873027,0.0404,-3%,+7%,Bi-Monthly
003460,2,0.0254188561924744,0.9629502669294748,0.16216471276223382,0.0356,-2%,+8%,Monthly
004710,2,0.0158300920096255,0.9798639667499773,0.15786237697673838,0.0347,-2%,+8%,Monthly
009780,2,0.0213167361631297,0.9562473027155731,0.15474866159719264,0.034,-2%,+8%,Monthly
900140,2,0.0332167470878217,0.9184130289994448,0.15335052067765265,0.0337,-3%,+7%,Bi-Monthly
007610,3,-0.0150673426340902,0.2649969429143355,0.2362522529483897,0.0519,-5%,+5%,Quarterly
084650,3,-0.0448582778810308,0.16760450808707775,0.16290913968145387,0.0358,-5%,+5%,Quarterly
122350,3,-0.0302534649346284,0.07606927446946025,0.14315262820653585,0.0314,-5%,+5%,Quarterly
437730,3,-0.0519604697078924,0.09323706025870572,0.12496446699918591,0.0274,-5%,+5%,Quarterly
000250,3,-0.0400826726001472,0.027409122309946705,0.11234322012393036,0.0247,-5%,+5%,Quarterly
