stock_code,sector
069730,1차 철강 제조업
006360,건물 건설업
001250,상품 종합 도매업
039570,전기 및 통신 공사업
294870,건물 건설업
009540,기타산업군
204320,자동차 신품 부품 제조업
034220,전자부품 제조업
000680,상품 종합 도매업
035420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
030190,기타 정보 서비스업
002100,"비료, 농약 및 살균, 살충제 제조업"
214330,자동차 신품 부품 제조업
024110,은행 및 저축기관
005720,고무제품 제조업
353200,전자부품 제조업
003490,항공 여객 운송업
016090,봉제의복 제조업
145720,의료용 기기 제조업
001520,"시멘트, 석회, 플라스터 및 그 제품 제조업"
018500,자동차 신품 부품 제조업
000020,의약품 제조업
013570,기타산업군
020150,전자부품 제조업
286940,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
011170,기초 화학물질 제조업
009200,"펄프, 종이 및 판지 제조업"
085620,보험업
268280,기초 화학물질 제조업
107590,기타산업군
011390,"시멘트, 석회, 플라스터 및 그 제품 제조업"
090460,전자부품 제조업
009770,"펄프, 종이 및 판지 제조업"
007610,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
136490,동물용 사료 및 조제식품 제조업
021820,자동차 신품 부품 제조업
068270,기초 의약물질 제조업
005390,기타 전문 도매업
055550,증권
090430,기타 화학제품 제조업
003560,"영화, 비디오물, 방송프로그램 제작 및 배급업"
004250,플라스틱제품 제조업
010120,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
009970,비철금속
000670,1차 비철금속 제조업
105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
005820,직물직조 및 직물제품 제조업
008250,나무제품 제조업
025820,1차 비철금속 제조업
007660,전자부품 제조업
023800,자동차 신품 부품 제조업
000230,의약품 제조업
003200,방적 및 가공사 제조업
008500,편조원단 제조업
063160,의약품 제조업
138490,합성고무 및 플라스틱 물질 제조업
003070,토목 건설업
264900,"떡, 빵 및 과자류 제조업"
020120,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
039490,금융 지원 서비스업
084870,봉제의복 제조업
016800,가구 제조업
005810,지주회사
071050,기타산업군
004090,기타 비금속 광물제품 제조업
000970,1차 철강 제조업
007280,1차 철강 제조업
105630,봉제의복 제조업
003300,"시멘트, 석회, 플라스터 및 그 제품 제조업"
180640,기타산업군
005110,기계장비 및 관련 물품 도매업
064350,철도장비 제조업
004560,1차 철강 제조업
307950,소프트웨어 개발 및 공급업
001500,금융 지원 서비스업
093240,봉제의복 제조업
003010,기계장비 및 관련 물품 도매업
094280,기타 사업지원 서비스업
298000,기초 화학물질 제조업
051500,음·식료품 및 담배 도매업
241520,신탁업 및 집합투자업
130500,기타 섬유제품 제조업
900290,기타산업군
403870,특수 목적용 기계 제조업
950170,종합 소매업
021320,건물 건설업
024940,생활용품 도매업
218410,통신 및 방송 장비 제조업
091340,전자부품 제조업
057030,교육지원 서비스업
052220,영상·오디오물 제공 서비스업
078890,통신 및 방송 장비 제조업
011040,의약품 제조업
024910,자동차 신품 부품 제조업
036190,전기 및 통신 공사업
187790,기초 화학물질 제조업
285490,그외 기타 제품 제조업
142280,의료용품 및 기타 의약 관련제품 제조업
123840,특수 목적용 기계 제조업
317850,특수 목적용 기계 제조업
036480,의약품 제조업
005710,자동차 신품 부품 제조업
298540,의복 액세서리 제조업
263600,전자부품 제조업
006620,의약품 제조업
088910,"도축, 육류 가공 및 저장 처리업"
197140,소프트웨어 개발 및 공급업
232680,특수 목적용 기계 제조업
217500,특수 목적용 기계 제조업
090360,특수 목적용 기계 제조업
071280,특수 목적용 기계 제조업
059210,의료용품 및 기타 의약 관련제품 제조업
101330,통신 및 방송 장비 제조업
043150,의료용 기기 제조업
014470,부동산 임대 및 공급업
053700,자동차 신품 부품 제조업
017480,1차 철강 제조업
091580,일차전지 및 이차전지 제조업
038070,기타 전문 도매업
092190,반도체 제조업
036120,기타 정보 서비스업
189860,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
140070,기계장비 및 관련 물품 도매업
